mon_feature_id,date_time,sample_begin_depth,institution_abbr,preservative_abbr,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Station,Qat,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975,1991/03/19 15:00,0,DWS-RQIS,HGCL2,11.4,85.9,316,48.7,0.22,14.08,6.8,70.2,0.093,2.511,,7.9,2.116,4.95,17.7,75.5,G2H015Q01,G22H,4.545692217,4.416984595,1.436039977
101975,1991/04/09 15:20,0,DWS-RQIS,HGCL2,15,92.3,285,51.3,0.31,10.23,8.6,61.2,0.06,1.847,,7.69,1.406,5.83,18.7,54.4,G2H015Q01,G22H,4.381788333,4.167684052,2.50429818
101975,1991/04/16 15:31,0,DWS-RQIS,HGCL2,19.4,104.1,361,60.8,0.24,13.91,9.6,74,0.085,6.377,,8.22,2.175,6.58,24,66,G2H015Q01,G22H,5.335572506,4.936044703,3.889629016
101975,1991/05/07 15:17,0,DWS-RQIS,HGCL2,19.4,134.9,424,72.9,0.22,13.65,11.2,91.1,0.04,7.272,,7.43,2.931,6.36,37.9,61.2,G2H015Q01,G22H,6.201588394,6.034188871,1.36811515
101975,1991/05/28 15:25,0,DWS-RQIS,HGCL2,16.1,87.5,250,38.1,0.14,8.03,8.8,48.1,0.384,2.358,,7.28,0.288,6.03,22.6,38.1,G2H015Q01,G22H,3.845280879,3.751627541,1.232782251
101975,1991/06/04 16:30,0,DWS-RQIS,HGCL2,15,84.2,240,36.9,0.14,7.44,8.6,47,0.33,2.452,,7.26,0.323,6.18,18.9,38.3,G2H015Q01,G22H,3.70804153,3.588288065,1.641283659
101975,1991/06/11 16:05,0,DWS-RQIS,HGCL2,17.6,83.7,249,45,0.15,8.32,9.4,46.6,0.139,3.391,,7.19,0.262,6.25,19.2,39.1,G2H015Q01,G22H,3.89806494,3.610192215,3.834081852
101975,1991/06/18 13:20,0,DWS-RQIS,HGCL2,16,90.8,268,46.7,0.17,9.17,9.1,53.6,0.105,3.833,,7.45,0.32,7.06,21.9,40.7,G2H015Q01,G22H,4.117771151,3.908396925,2.608644921
101975,1991/07/03 16:20,0,DWS-RQIS,HGCL2,16.7,78.3,240,39.6,0.23,7.24,9.4,44.5,0.02,2.376,,7.53,0.144,5.81,20.8,42.5,G2H015Q01,G22H,3.727640217,3.543491429,2.532601487
101975,1991/07/16 15:20,0,DWS-RQIS,HGCL2,15,69.7,214,39.1,0.18,6.31,8.2,38.2,0.242,1.802,,7.95,0.043,6.13,18.1,40.8,G2H015Q01,G22H,3.258721879,3.195967324,0.972232021
101975,1991/08/13 16:15,0,DWS-RQIS,HGCL2,4.5,18,56,10.6,0.2,1.07,2.1,8.9,0.062,0.208,,7.36,0.023,3.92,9.1,9.4,G2H015Q01,G22H,0.815045104,0.89903578,-4.900041578
101975,1991/09/17 16:00,0,DWS-RQIS,HGCL2,18.8,96.4,301,51.5,0.32,11.4,11.8,55.2,0.093,1.102,,7.83,0.112,6.43,25.9,62.3,G2H015Q01,G22H,4.605576045,4.538667951,0.73169629
101975,1991/10/22 15:15,0,DWS-RQIS,HGCL2,18.8,95.9,284,52.4,0.33,9.49,11.1,53.6,0.189,0.902,,7.74,0.134,5.28,14.5,62.4,G2H015Q01,G22H,4.434881887,4.287325828,1.691728329
101975,1991/10/29 12:30,0,DWS-RQIS,HGCL2,15.5,73.3,233,42.9,0.18,7.09,9.2,41.3,0.02,1.878,,7.44,0.411,6.58,10.9,54.1,G2H015Q01,G22H,3.508362186,3.426378721,1.182213817
101975,1991/11/19 13:40,0,DWS-RQIS,HGCL2,14.6,62.5,225,41,0.27,7.08,7.5,42.3,0.472,2.743,,7.8,0.93,6.18,12.3,51.9,G2H015Q01,G22H,3.391890328,3.142367614,3.818684784
